name,brand,description,price,category,photos
Samsung 65Q70C 65 Inch QLED 4K UHD Smart TV,Samsung,Latest Offers,"133,800৳",tv,https://www.startech.com.bd/image/cache/catalog/television/samsung/55q70c/q70c-01-500x500.webp
Sony Bravia KD-65X80L 65 Inch 4K Ultra HD Smart LED Android TV (Unofficial),Sony,Latest Offers,"134,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/sony/kd-65x80l/kd-65x80l-01-500x500.webp
Sony Bravia KD-55X80L 55 Inch 4K Ultra HD Smart Android TV,Sony,Latest Offers,"109,900৳",tv,https://www.startech.com.bd/image/cache/catalog/television/sony/kd-65x80l/bravia-kd-55x80l-001-500x500.webp
"Sony Bravia 3 K-65S30 65"" 4K UHD Google Smart TV (Unofficial)",Sony,Latest Offers,"140,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/sony/bravia-3-k-55s30/bravia-3-k-55s30-500x500.webp
"Hisense 75A6F3 75"" Bezelless Smart Android 4K UHD Google TV",Hisense,Latest Offers,"123,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/hisense/75a6f3/75a6f3-01-500x500.webp
Samsung 65DU7700 65 Inch Crystal 4K UHD Smart TV,Samsung,Latest Offers,"107,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/samsung/65du7700/65du7700-01-500x500.webp
"Samsung 55Q60B 55"" QLED UHD 4K HDR Smart TV",Samsung,Latest Offers,"98,800৳",tv,https://www.startech.com.bd/image/cache/catalog/television/samsung/65q60b/65q60b-01-500x500.webp
Samsung 75CU8100 75 Inch Crystal 4K UHD HDR Smart TV,Samsung,Latest Offers,"147,800৳",tv,https://www.startech.com.bd/image/cache/catalog/television/samsung/43cu8100/43cu8100-01-500x500.webp
"Samsung 55Q60D 55"" QLED 4K UHD HDR Smart TV",Samsung,Latest Offers,"122,800৳",tv,https://www.startech.com.bd/image/cache/catalog/television/samsung/55q60d/55q60d-001-500x500.webp
LG 70UP7750 70 Inch 4K UHD Smart Television,LG,Latest Offers,"150,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/lg-tv/70up7750/70up7750-01-500x500.webp
Sony Bravia KD-65X85L 65 Inch 4K UHD Smart TV (Unofficial),Sony,Latest Offers,"152,500৳",tv,https://www.startech.com.bd/image/cache/catalog/television/sony/bravia-kd-55x85l/bravia-kd-55x85l-05-500x500.webp
Samsung 55QN700B 55 Inch Neo QLED 8K HDR Smart TV With Alexa Built-In,Samsung,Latest Offers,"157,900৳",tv,https://www.startech.com.bd/image/cache/catalog/television/samsung/55qn700b/55qn700b-01-500x500.webp
Sony Bravia XR-55X90L 55 Inch 4K UHD Smart TV (Unofficial),Sony,Latest Offers,"160,500৳",tv,https://www.startech.com.bd/image/cache/catalog/television/sony/bravia-xr-55x90l/bravia-xr-55x90l-05-500x500.webp
LG C2 55-inch evo OLED 4K UHD Smart TV,LG,Latest Offers,"160,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/lg-tv/c2-55-inch/c2-55-inch-01-500x500.webp
Samsung 65Q80C 65 Inch QLED 4K UHD Smart TV,Samsung,Latest Offers,"162,900৳",tv,https://www.startech.com.bd/image/cache/catalog/television/samsung/65q80c/65q80c-01-500x500.webp
Haier H65S900UX 65 Inch QLED 4K Google TV,Haier,Latest Offers,"136,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/haier/h55s900ux/h55s900ux-01-500x500.webp
Sony Bravia KD-65X75K 65 Inch 4K Ultra HD Smart LED Android TV,Sony,Latest Offers,"120,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/sony/kd-65x75k/kd-65x75k-001-500x500.webp
